駕 멍에 가-
晏 늦을 안:
鞍 안장 안:
按 누를 안-
斡 돌 알
軋 삐걱거릴 알
闇 숨을 암: 
庵 암자 암
昂 높을 앙
怏 원망할 앙
秧 모 앙
鴦 원앙 앙
崖 언덕 애
曖 희미할 애
隘 좁을 애
靄 아지랑이 애:
扼 잡을 액
腋 겨드랑이 액
縊 목맬 액
櫻 앵두 앵
鶯 꾀꼬리 앵
揶 야유할 야:
冶 풀무 야
爺 아비 야
葯 꽃밥 약
攘 물리칠 양:
恙 병/근심할 양:
釀 술빚을 양
癢 가려울 양:
瘍 헐 양
圄 옥 어
禦 막을 어:
瘀 어혈질 어:
臆 가슴 억
堰 둑 언
諺 언문/속담 언:
掩 가릴 엄:
奄 문득 엄:
儼 엄연할 엄
繹 풀 역
鳶 솔개 연
捐 버릴 연:
筵 대자리 연
椽 서까래 연
焰 불꽃 염 
艶 고울 염:
嬰 어린아이 영
詣 이를[至] 예:
曳 끌 예:
穢 더러울 예:
裔 후손 예: 
奧 깊을 오-
懊 한할 오:
伍 다섯사람 오:
寤 잠깰 오
蘊 쌓을 온:
壅 막을 옹
訛 그릇될 와:
渦 소용돌이 와
蝸 달팽이 와
婉 순할/아름다울 완:
宛 완연할 완
玩 즐길 완:
腕 팔뚝 완-
阮 성 완-
頑 완고할 완
枉 굽을 왕:
矮 난쟁이 왜
巍 높고클 외
猥 외람할 외:
擾 시끄러울 요
窈 고요할 요:
窯 기왓가마 요
邀 맞을 요
饒 넉넉할 요
僥 요행 요
凹 오목할 요
拗 우길 요
夭 일찍죽을 요:
踊 뛸 용:
蓉 연꽃 용
茸 풀날 용, 버섯 이:
聳 솟을 용:
涌 물 솟을 용:
虞 염려할/나라이름 우
迂 에돌 우
寓 부칠 우:
嵎 산굽이 우
隅 모퉁이 우
耘 김맬 운
殞 죽을 운:
隕 떨어질 운:
冤 원통할 원-
猿 원숭이 원
鴛 원앙 원
萎 시들 위
揄 야유할 유
柚 유자 유
游 헤엄칠 유
鍮 놋쇠 유
癒 병나을 유
諛 아첨할 유
諭 타이를 유
蹂 밟을 유
喩 깨우칠 유
愉 즐거울 유
宥 너그러울 유
絨 가는베 융
戎 병장기/오랑캐 융
蔭 그늘 음
揖 읍할 읍
膺 가슴 응:
毅 굳셀 의
椅 의자 의
擬 비길 의:
誼 정 의
餌 미끼 이:
姨 이모 이
痍 상처 이
爾 너 이:
弛 늦출 이:
翌 다음날 익
蚓 지렁이 인
靭 질길 인
咽 목구멍 인, 목멜 열, 삼킬 연
湮 묻힐 인
溢 넘칠 일
