Hanja	Reading(s)	Meaning(s)	Grade
鑿	착, 조, 촉	뚫을, 구멍, 새길	1
窄	착	좁을	1
搾	착, 자	짤, 술주자	1
篡	찬	빼앗을	1
饌	찬, 찬, 선	반찬, 지을, 여섯 냥	1
纂	찬	모을	1
撰	찬, 선	지을, 가릴	1
擦	찰	문지를	1
讖	참	예언	1
讒	참	참소할	1
站	참, 참	역마을, 우두커니 설	1
懺	참, 천	뉘우칠, 뉘우칠	1
塹	참, 점	구덩이, 낮을	1
僭	참	주제넘을	1
菖	창	창포	1
艙	창	부두	1
脹	창, 장	부을, 창자	1
瘡	창	부스럼	1
猖	창	미쳐 날뛸	1
漲	창	넘칠	1
槍	창, 추	창, 칠	1
愴	창	슬플	1
廠	창	공장	1
娼	창	창녀	1
倡	창	광대	1
寨	채	목책	1
柵	책	울타리	1
凄	처, 처	쓸쓸할, 찰	1
脊	척	등마루	1
瘠	척	여윌	1
滌	척, 조	씻을, 물 이름	1
擲	척	던질	1
闡	천	밝힐	1
穿	천	뚫을	1
擅	천	멋대로 할	1
喘	천	숨찰	1
轍	철	바퀴 자국	1
綴	철	엮을	1
凸	철	볼록할	1
諂	첨	아첨할	1
籤	첨	제비	1
僉	첨, 첨	다, 여러	1
貼	첩	붙일	1
疊	첩, 첩	거듭, 겹쳐질	1
牒	첩	편지	1
捷	첩, 첩, 삽	빠를, 이길, 꽂을	1
帖	첩, 체	문서, 체지	1
諦	체, 제	살필, 울	1
涕	체	눈물	1
醋	초, 작	초, 잔 돌릴	1
貂	초	담비	1
蕉	초	파초	1
稍	초, 초, 소	점점, 끝, 구실	1
礁	초	암초	1
硝	초	화약	1
炒	초	볶을	1
樵	초	나무할	1
梢	초, 소	나뭇가지 끝, 마들가리	1
憔	초	파리할	1
囑	촉	부탁할	1
忖	촌	헤아릴	1
寵	총, 룡(용)	사랑할, 현 이름	1
塚	총	무덤	1
叢	총, 총	떨기, 모일	1
撮	촬, 촬	모을, 사진 찍을	1
鰍	추	미꾸라지	1
鎚	추, 퇴	쇠망치, 옥 다듬을	1
錘	추	저울추	1
錐	추	송곳	1
酋	추	우두머리	1
芻	추	꼴	1
樞	추, 우	지도리, 나무 이름	1
椎	추, 추	쇠몽치, 등골	1
墜	추	떨어질	1
黜	출	내칠	1
贅	췌	혹	1
萃	췌	모을	1
膵	췌	췌장	1
悴	췌, 취	파리할, 파리할	1
脆	취	연할	1
翠	취, 취	푸를, 물총새	1
娶	취, 서	장가들, 중매들	1
惻	측	슬퍼할	1
馳	치	달릴	1
緻	치, 치	빽빽할, 이를	1
癡	치	어리석을	1
痔	치	치질	1
熾	치	성할	1
幟	치	기	1
嗤	치	비웃을	1
侈	치	사치할	1
勅	칙, 칙	칙서, 신칙할	1
鍼	침	침	1
砧	침	다듬잇돌	1
蟄	칩	숨을	1
秤	칭	저울	1
駝	타	낙타	1
陀	타, 타	비탈질, 사타	1
舵	타	키	1
楕	타	길고 둥글	1
惰	타	게으를	1
唾	타	침	1
鐸	탁	방울	1
擢	탁	뽑을	1
綻	탄	터질	1
憚	탄, 달	꺼릴, 놀랄	1
坦	탄, 탄	평탄할, 너그러울	1
呑	탄	삼킬	1
眈	탐, 침	노려볼, 머리를 내밀고 볼	1
搭	탑	탈	1
蕩	탕	방탕할	1
宕	탕	호탕할	1
跆	태	밟을	1
苔	태	이끼	1
笞	태	볼기칠	1
汰	태	일	1
撐	탱	버틸	1
攄	터	펼	1
桶	통, 용	통, 되	1
慟	통	서러워할	1
筒	통	대통	1
頹	퇴, 퇴	무너질, 턱	1
褪	퇴	바랠	1
腿	퇴	넓적다리	1
槌	퇴, 추	망치, 망치	1
堆	퇴	쌓을	1
妬	투	샘낼	1
套	투	씌울	1
慝	특, 닉(익)	사특할, 숨길	1
跛	파, 피	절름발이, 비스듬히 설	1
芭	파	파초	1
琶	파	비파	1
爬	파	긁을	1
巴	파, 파	꼬리, 바랄	1
婆	파, 바	할머니, 음역자	1
辦	판	힘들일	1
稗	패	피	1
牌	패	패	1
沛	패, 패	비 쏟아질, 늪	1
悖	패, 발	거스를, 우쩍 일어날	1
唄	패	염불 소리	1
佩	패	찰	1
膨	팽	부를	1
澎	팽	물소리	1
愎	퍅	강퍅할	1
騙	편, 편	속일, 말 탈	1
鞭	편	채찍	1
貶	폄	낮출	1
萍	평	부평초	1
陛	폐	대궐 섬돌	1
斃	폐	죽을	1
庖	포	부엌	1
逋	포	도망갈	1
褒	포, 부	기릴, 모을	1
袍	포	도포	1
蒲	포	부들	1
脯	포, 보	포, 회식할	1
疱	포	물집	1
泡	포	거품	1
圃	포	채마밭	1
哺	포	먹일	1
咆	포	고함지를	1
匍	포	길	1
瀑	폭, 포, 팍	폭포, 소나기, 용솟음칠	1
曝	폭, 폭, 포, 박	사나울, 쬘, 사나울, 앙상할	1
飄	표	나부낄	1
豹	표	표범	1
慓	표	급할	1
剽	표	겁박할	1
稟	품, 름(늠)	여쭐, 곳집	1
諷	풍	풍자할	1
披	피	헤칠	1
疋	필, 소, 아	짝, 발, 바를	1
逼	핍	핍박할	1
乏	핍	모자랄	1
霞	하	노을	1
遐	하	멀	1
蝦	하, 하	두꺼비, 새우	1
瑕	하	허물	1
瘧	학	학질	1
謔	학	희롱할	1
壑	학	골	1
罕	한	드물	1
澣	한, 한	빨래할, 열흘	1
悍	한	사나울	1
轄	할, 할	다스릴, 비녀장	1
鹹	함, 함	짤, 다	1
銜	함	재갈	1
緘	함	봉할	1
涵	함	젖을	1
檻	함	난간	1
喊	함, 함	소리칠, 다물	1
函	함	함	1
蛤	합	대합조개	1
盒	합	합	1
肛	항, 홍	항문, 항문	1
缸	항	항아리	1
骸	해	뼈	1
駭	해	놀랄	1
邂	해	만날	1
諧	해	화할	1
楷	해	본보기	1
懈	해	게으를	1
咳	해, 해	어린아이 웃을, 기침	1
偕	해	함께	1
劾	핵, 해	꾸짖을, 힘쓸	1
饗	향	잔치할	1
嚮	향, 상	향할, 성씨	1
墟	허	터	1
噓	허	불	1
歇	헐, 갈, 알	쉴, 개 이름, 사람 이름	1
衒	현	자랑할	1
絢	현, 순	무늬, 끈	1
眩	현, 환, 견	어지러울, 요술, 돌아다니며 팔	1
頰	협	뺨	1
狹	협	좁을	1
挾	협	낄	1
俠	협	의기로울	1
荊	형	가시나무	1
醯	혜	식혜	1
彗	혜, 수	살별, 살별	1
糊	호, 호	풀칠할, 죽	1
瑚	호	산호	1
琥	호	호박	1
狐	호	여우	1
弧	호	활	1
渾	혼, 혼	흐릴, 뒤섞일	1
笏	홀	홀	1
惚	홀	황홀할	1
訌	홍	어지러울	1
虹	홍, 항, 공	무지개, 어지러울, 고을 이름	1
哄	홍	떠들썩할	1
鰥	환, 환, 곤	환어, 홀아버지, 곤이	1
驩	환, 환	기뻐할, 말 이름	1
宦	환	벼슬	1
喚	환	부를	1
闊	활	넓을	1
猾	활	교활할	1
遑	황	급할	1
煌	황	빛날	1
慌	황	어리둥절할	1
惶	황	두려울	1
恍	황, 광	황홀할, 용맹스러운 모양	1
徨	황	헤맬	1
凰	황	봉황	1
賄	회, 회	재물, 뇌물	1
誨	회	가르칠	1
蛔	회	회충	1
膾	회	회	1
繪	회	그림	1
晦	회	그믐	1
恢	회	넓을	1
徊	회	머뭇거릴	1
酵	효, 교	삭힐, 삭힐	1
爻	효, 효	사귈, 가로그을	1
嚆	효	울릴	1
哮	효	성낼	1
逅	후	만날	1
朽	후	썩을	1
嗅	후	맡을	1
吼	후	울부짖을	1
暈	훈, 운	무리, 어지러울	1
喧	훤	지껄일	1
喙	훼, 달	부리, 부리	1
卉	훼, 훌	풀, 빠를	1
麾	휘	기	1
諱	휘, 휘	숨길, 꺼릴	1
彙	휘, 휘	무리, 고슴도치	1
恤	휼	불쌍할	1
洶	흉	용솟음칠	1
兇	흉	흉악할	1
痕	흔	흔적	1
欣	흔	기쁠	1
歆	흠	흠향할	1
欠	흠, 결	하품, 이지러질	1
洽	흡, 합	흡족할, 강 이름	1
恰	흡	흡사할	1
犧	희, 사	희생, 술그릇	1
詰	힐, 힐	물을, 꾸짖을	1
跏	가	책상다리할	0
訶	가, 하	꾸짖을, 꾸짖을	0
茄	가	연줄기	0
痂	가	딱지	0
珂	가	마노	0
枷	가	칼	0
慤	각	성실할	0
稈	간	볏짚	0
磵	간	산골짜기 물	0
桿	간, 한	난간, 몽둥이	0
柬	간, 간	가릴, 간략할	0
侃	간	굳셀	0
蝎	갈, 할	전갈, 나무굼벵이	0
碣	갈	비석	0
曷	갈	어찌	0
乫	갈	땅 이름	0
龕	감	감실	0
鑒	감	거울	0
橄	감	감람나무	0
戡	감	이길	0
嵌	감	산골짜기	0
坎	감	구덩이	0
胛	갑	어깨뼈	0
鱇	강	아귀	0
襁	강	포대기	0
舡	강, 선	배, 배	0
羌	강	오랑캐	0
絳	강	진홍	0
畺	강	지경	0
强	강	강할	0
堈	강	언덕	0
鎧	개	갑옷	0
盖	개, 합	덮을, 어찌	0
疥	개, 해	옴, 옴	0
愷	개	편안할	0
喀	객	토할	0
粳	갱, 경	메벼, 메벼	0
鋸	거	톱	0
鉅	거, 거, 거	클, 강할, 어찌	0
遽	거	급히	0
踞	거	걸어앉을	0
祛	거	떨	0
炬	거	횃불	0
据	거	근거	0
騫	건	이지러질	0
蹇	건	절뚝발이	0
楗	건	문빗장	0
愆	건	허물	0
黔	검, 금	검을, 귀신 이름	0
鈐	검	비녀장	0
瞼	검	눈꺼풀	0
劒	검	칼	0
迲	겁, 가	자래, 자래	0
抉	결	도려낼	0
鎌	겸	낫	0
鉗	겸, 겸	칼, 다물	0
箝	겸	재갈 먹일	0
慊	겸, 혐, 협	찐덥지 않을, 혐의, 만족스러울	0
逕	경	좁은 길	0
耿	힐	빛 경을	0
絅	경	끌어 죌	0
璥	경	경옥	0
烱	경, 형	빛날, 빛날	0
涇	경	통할	0
暻	경, 영	볕, 그림자	0
擎	경	들	0
坰	경	들	0
勍	경	셀	0
倞	경, 량(양)	셀, 밝을	0
俓	경	지름길	0
谿	계, 혜	시내, 다툴	0
誡	계	경계할	0
稽	계	상고할	0
磎	계	시내	0
棨	계	창	0
屆	계	이를	0
堺	계	지경	0
誥	고	고할	0
蠱	고, 야	뱃속벌레, 요염할	0
藁	고	짚	0
菰	고	줄	0
苽	고	줄	0
羔	고	새끼양	0
睾	고, 고, 호	불알, 못, 넓을	0
沽	고	팔	0
槁	고, 호	마를, 위로할	0
暠	고, 호	흴, 흴	0
攷	고, 고	생각할, 살필	0
尻	고	꽁무니	0
斛	곡	휘	0
鯤	곤	곤이	0
琨	곤	옥돌	0
滾	곤	흐를	0
梱	곤	문지방	0
崑	곤	산 이름	0
蚣	공	지네	0
珙	공	옥	0
控	공, 강	당길, 칠	0
鍋	과	노구솥	0
跨	과, 고	넘을, 걸터앉을	0
菅	관	골풀	0
罐	관, 부	두레박, 장군	0
瓘	관	옥	0
适	괄, 적	빠를, 맞을	0
恝	괄, 개, 계	여유가 없을, 근심 없을, 산 이름	0
筐	광	광주리	0
珖	광	옥피리	0
炚	광	빛	0
洸	광, 황	성낼, 깊을	0
侊	광	성찬	0
紘	굉	끈	0
鮫	교	상어	0
餃	교	경단	0
蕎	교	메밀	0
翹	교, 교	뛰어날, 꼬리	0
嶠	교	산 쭈뼛할	0
銶	구	끌	0
逑	구	짝	0
絿	구, 구	급할, 어릴	0
瞿	구, 구	놀랄, 창	0
毬	구	공	0
廐	구	마구간	0
坵	구	언덕	0
咎	구, 고	허물, 큰 북	0
勾	구, 구, 귀	글귀, 올가미, 글귀	0
耈	구	늙을	0
麴	국, 부	누룩, 누룩	0
鞫	국	국문할	0
裙	군	치마	0
堀	굴	굴	0
芎	궁	궁궁이	0
淃	권	물 돌아 흐를	0
蕨	궐	고사리	0
獗	궐	날뛸	0
饋	궤	보낼	0
晷	귀, 구	그림자, 그림자	0
赳	규	헌걸찰	0
竅	규	구멍	0
槻	규	물푸레나무	0
鈞	균	서른 근	0
筠	균	대	0
畇	균, 윤	개간할, 개간할	0
勻	균, 윤, 운	고를, 나눌, 운	0
菫	근, 근, 근	진흙, 조금, 제비꽃	0
芹	근	미나리	0
懃	근	은근할	0
劤	근	힘	0
衿	금	옷깃	0
芩	금, 음	풀 이름, 수초 이름	0
檎	금	능금나무	0
昑	금	밝을	0
妗	금, 혐	외숙모, 웃는 모양	0
伋	급, 파	속일, 움직이는 모양	0
饑	기	주릴	0
錤	기	호미	0
錡	기, 의	가마솥, 쇠뇌 틀	0
耭	기	갈	0
祺	기	길할	0
祇	기, 지	땅귀신, 다만	0
祁	기	성할	0
磯	기	물가	0
碁	기	바둑	0
璂	기	피변 꾸미개	0
玘	기	패옥	0
夔	기	조심할	0
埼	기	갑	0
圻	기, 은	경기, 지경	0
桔	길	도라지	0
佶	길	헌걸찰	0
娜	나	아름다울	0
湳	남	물 이름	0
楠	남	녹나무 이름	0
枏	남, 염	녹나무, 매화나무	0
柰	내, 나	능금나무, 어찌	0
秊	년(연), 녕(영)	해, 아첨할	0
捻	념(염), 녑(엽)	비틀, 누를	0
拈	념(염), 점	집을, 달	0
恬	념(염)	편안할	0
寗	녕(영)	차라리	0
瑙	노	마노	0
嫩	눈	어릴	0
杻	뉴(유), 추	감탕나무, 수갑	0
鄲	단	조나라 서울	0
袒	단, 탄	웃통 벗을, 터질	0
彖	단, 시	판단할, 돌	0
亶	단, 전, 선	믿음, 머뭇거릴, 산 이름	0
獺	달, 랄(날)	수달, 수달	0
澾	달	미끄러울	0
錟	담, 섬, 염	창, 날카로울, 서슬	0
覃	담, 염	깊을, 날이 설	0
蕁	담, 심	지모, 지모	0
聃	담	귓바퀴 없을	0
湛	담, 침, 잠, 점, 음	괼, 잠길, 맑을, 담글, 장마	0
坍	담, 단	무너질, 무너질	0
啖	담	씹을	0
沓	답	겹칠	0
戇	당	어리석을	0
幢	당, 동	기, 드리워진 모양	0
黛	대	눈썹먹	0
玳	대	대모	0
岱	대	대산	0
坮	대	대	0
韜	도, 도	감출, 활집	0
覩	도	볼	0
櫂	도	노	0
棹	도, 탁	노, 책상	0
嶋	도	섬	0
纛	독, 도	기, 기	0
犢	독	송아지	0
牘	독	서찰	0
焞	돈, 퇴, 순	귀갑 지지는 불, 성할, 밝을	0
暾	돈	아침 해	0
旽	돈	밝을	0
墩	돈	돈대	0
潼	동, 종	물 이름, 끈적끈적할	0
仝	동	한가지	0
逗	두	머무를	0
荳	두	콩	0
竇	두, 독	구멍, 개천	0
枓	두, 주	두공, 구기	0
遯	둔	달아날	0
芚	둔, 춘	싹 나올, 어리석을	0
嶝	등	고개	0
蘿	라(나)	쑥	0
喇	라(나)	나팔	0
珞	락(낙), 력(역)	구슬 목걸이, 조약돌	0
欒	란(난), 란(난)	둥글, 모감주나무	0
襤	람(남)	헌 누더기	0
纜	람(남)	닻줄	0
欖	람(남)	감람나무	0
攬	람(남)	가질	0
擥	람(남)	가질	0
嵐	람(남)	남기	0
螂	랑(낭)	사마귀	0
瑯	랑(낭)	옥돌	0
琅	랑(낭)	옥돌	0
徠	래(내), 래(내)	올, 위로할	0
崍	래(내)	산 이름	0
粮	량(양)	양식	0
凉	량(양)	서늘할	0
驢	려(여)	당나귀	0
蠣	려(여)	굴조개	0
藜	려(여)	명아주	0
櫚	려(여)	종려	0
儷	려(여)	짝	0
靂	력(역)	벼락	0
轢	력(역)	칠	0
璉	련(연)	호련	0
攣	련(연), 련(연)	걸릴, 경련할	0
洌	렬(열), 례(예)	맑을, 거셀	0
冽	렬(열), 례(예)	맑을, 거셀	0
聆	령(영)	들을	0
翎	령(영)	깃	0
羚	령(영)	영양	0
笭	령(영)	도꼬마리	0
怜	령(영), 련(연)	영리할, 불쌍히 여길	0
岺	령(영)	고개	0
伶	령(영)	영리할	0
澧	례(예), 풍	강 이름, 강 이름	0
鹵	로(노)	소금	0
輅	로(노), 락(낙), 아, 핵	수레, 작은 수레, 맞이할, 수레 앞 가로나무	0
瀘	로(노)	물 이름	0
潞	로(노)	강 이름	0
櫓	로(노)	방패	0
菉	록(녹)	조개풀	0
瀧	롱(농), 랑(낭), 상	비 올, 여울, 물 이름	0
朧	롱(농)	흐릿할	0
賚	뢰(뇌), 래(내)	줄, 줄	0
瀨	뢰(뇌)	여울	0
鬧	료(요), 뇨(요)	시끄러울, 시끄러울	0
蓼	료(요), 륙(육), 로(노), 류(유)	여뀌, 클, 찾을, 끌어당길	0
廖	료(요), 류(유)	텅 빌, 나라 이름	0
鏤	루(누)	새길	0
褸	루(누)	헌 누더기	0
蔞	루(누)	산쑥	0
縷	루(누)	실	0
瘻	루(누)	부스럼	0
婁	루(누), 루(누)	끌, 별 이름	0
瑠	류(유)	맑은 유리	0
瀏	류(유)	맑을	0
榴	류(유)	석류나무	0
旒	류(유)	깃발	0
侖	륜(윤), 륜(윤)	생각할, 둥글	0
鯉	리(이)	잉어	0
莉	리(이)	말리	0
羸	리(이)	파리할	0
璃	리(이)	유리	0
狸	리(이), 매	삵, 묻을	0
犁	리(이), 려(여), 류(유)	밭 갈, 밭 갈, 떨	0
浬	리(이)	해리	0
唎	리(이)	가는 소리	0
厘	리(이), 전	다스릴, 가게	0
藺	린(인)	골풀	0
璘	린(인)	옥빛	0
潾	린(인)	맑을	0
霖	림(임)	장마	0
琳	림(임)	옥	0
砬	립(입)	돌 소리	0
碼	마	마노	0
瑪	마	차돌	0
邈	막	멀	0
曼	만	길게 끌	0
巒	만, 란(난)	뫼, 뫼	0
万	만	일만	0
茉	말	말리	0
唜	말, 끗	끝, 끝	0
邙	망	북망산	0
輞	망	바퀴 테	0
莽	망, 무	우거질, 우거질	0
驀	맥	말 탈	0
陌	맥	길	0
氓	맹	백성	0
冪	멱	덮을	0
麵	면	밀가루	0
蓂	명	명협	0
茗	명	차 싹	0
瞑	명, 면	눈 감을, 잘	0
椧	명	홈통	0
芼	모	우거질	0
眸	모	눈동자	0
瑁	모, 매	옥홀, 대모	0
摹	모	베낄	0
姆	모, 무	유모, 유모	0
鶩	목	집오리	0
朦	몽	흐릴	0
錨	묘	닻	0
竗	묘	묘할	0
鵡	무	앵무새	0
繆	무, 목, 류(유), 규, 료(요)	얽을, 사당치레, 틀릴, 목맬, 꿈틀거릴	0
珷	무	옥돌	0
楙	무	무성할	0
无	무	없을	0
懋	무	무성할	0
雯	문	구름 무늬	0
吻	문	입술	0
刎	문	목 벨	0
們	문	들	0
沕	물, 매, 밀	아득할, 아득할, 잠길	0
黴	미, 매, 매	곰팡이, 매우, 곰팡이	0
謎	미	수수께끼	0
湄	미, 난	물가, 더운 물	0
渼	미	물놀이	0
楣	미	문미	0
梶	미	나무 끝	0
嵋	미	산 이름	0
緡	민, 면	낚싯줄, 새 우는 소리	0
泯	민, 면	망할, 뒤섞일	0
愍	민	근심할	0
岷	민	산 이름	0
雹	박	우박	0
璞	박	옥돌	0
磐	반	너럭바위	0
盼	반, 분	눈 예쁠, 날 새려 할	0
瘢	반	흉터	0
泮	반, 반	물가, 녹을	0
蚌	방	방합	0
蒡	방	우엉	0
舫	방	방주	0
磅	방	돌 떨어지는 소리	0
滂	방	비 퍼부을	0
褙	배	속적삼	0
裴	배, 배, 비	성씨, 치렁치렁할, 고을 이름	0
盃	배	잔	0
焙	배	불에 쬘	0
栢	백	측백	0
佰	백, 맥	일백, 밭두둑	0
燔	번	사를	0
樊	번	울타리	0
幡	번, 번	깃발, 날	0
琺	법	법랑	0
霹	벽	벼락	0
蘗	벽, 얼, 폐	황경나무, 그루터기, 승검초	0
檗	벽, 백	황벽나무, 황벽나무	0
鱉	별	자라	0
騈	병, 변	나란히 할, 나란히 할	0
輧	병, 변	수레, 수레	0
棅	병	자루	0
幷	병	아우를	0
褓	보	포대기	0
珤	보	보배	0
湺	보	보	0
輹	복	복토	0
蔔	복	무	0
茯	복	복령	0
宓	복, 밀	성씨, 잠잠할	0
乶	볼, 폴	음역자, 땅 이름	0
琫	봉	칼집 장식	0
熢	봉, 봉	봉화, 연기 자욱할	0
峰	봉	봉우리	0
趺	부	책상다리 할	0
莩	부, 표	갈대청, 굶어죽을	0
艀	부	작은 배	0
缶	부, 관	장군, 두레박	0
溥	부, 보, 박	펼, 넓을, 물 모양	0
孚	부	미쁠	0
鳧	부	오리	0
賁	분, 비, 륙(육)	클, 꾸밀, 땅 이름	0
汾	분	클	0
昐	분	햇빛	0
菲	비	엷을	0
粃	비, 비	쭉정이, 더럽힐	0
秘	비, 필	숨길, 심오할	0
毗	비	도울	0
榧	비	비자나무	0
枇	비	비파나무	0
斐	비	문채 날	0
玭	빈	구슬 이름	0
牝	빈	암컷	0
浜	빈, 병	물가, 선거	0
檳	빈	빈랑나무	0
斌	빈	빛날	0
騁	빙	달릴	0
駟	사	사마	0
裟	사	가사	0
莎	사, 사, 수	사초, 비빌, 베짱이	0
肆	사	방자할	0
篩	사	체	0
砂	사, 사, 사	모래, 봉황, 목 쉴	0
渣	사	찌꺼기	0
梭	사, 준	북, 나무 이름	0
柶	사	수저	0
僿	사, 새	잘게 부술, 잘게 부술	0
俟	사, 기	기다릴, 성씨	0
伺	사	엿볼	0
乍	사, 작	잠깐, 일어날	0
霰	산, 선	싸라기눈, 싸라기눈	0
蒜	산, 선	마늘, 마늘	0
汕	산	오구	0
乷	살	음역자	0
衫	삼	적삼	0
芟	삼	벨	0
杉	삼	삼나무	0
颯	삽, 립(입)	바람 소리, 큰 바람	0
鈒	삽	창	0
牀	상	평상	0
湘	상	강 이름	0
橡	상	상수리나무	0
廂	상	행랑	0
峠	상	고개	0
賽	새	굿할	0
穡	색	거둘	0
笙	생	생황	0
鋤	서	호미	0
絮	서, 처, 나	솜, 간 맞출, 실 헝클어질	0
筮	서	점	0
栖	서	깃들일	0
捿	서	깃들일	0
墅	서	농막	0
蓆	석	자리	0
淅	석	일	0
汐	석, 계, 혈	조수, 빠를, 빠를	0
饍	선, 찬	반찬, 차려낼	0
鐥	선, 삼	복자, 낫	0
跣	선	맨발	0
詵	선, 신	많을, 많을	0
蟬	선, 선, 제	매미, 날, 땅 이름	0
蘚	선	이끼	0
癬	선	옴	0
琁	선, 경	옥, 붉은 옥	0
渲	선	바림	0
敾	선	기울	0
嬋	선	고울	0
僊	선, 선	춤출, 신선	0
齧	설	물	0
褻	설	더러울	0
楔	설	문설주	0
贍	섬	넉넉할	0
剡	섬, 염	땅 이름, 날카로울	0
腥	성	비릴	0
筬	성	바디	0
珹	성	옥 이름	0
猩	성	성성이	0
惺	성	깨달을	0
宬	성	서고	0
笹	세	조릿대	0
韶	소	풍류 이름	0
銷	소	녹일	0
篠	소	조릿대	0
炤	소, 조	밝을, 비출	0
瀟	소	강 이름	0
溯	소, 삭	거슬러 올라갈, 물	0
嘯	소, 질	휘파람 불, 꾸짖을	0
謖	속	일어날	0
涑	속	헹굴	0
飡	손, 찬	저녁밥, 먹을	0
蓀	손	향풀 이름	0
巽	손	부드러울	0
淞	송	강 이름	0
釗	쇠, 소	쇠, 볼	0
鬚	수, 수	수염, 모름지기	0
隧	수, 추	길, 떨어질	0
銹	수	녹슬	0
邃	수	깊을	0
讐	수	원수	0
藪	수	늪	0
蓚	수, 조	수산, 싹	0
茱	수	수유	0
脩	수, 유, 조, 소, 척	포, 술잔, 고을 이름, 쓸쓸할, 씻을	0
綬	수	끈	0
綏	수	편안할	0
璲	수	패옥	0
琇	수	옥돌	0
燧	수	부싯돌	0
漱	수	양치질할	0
峀	수	산굴	0
岫	수	산굴	0
嗽	수, 삭	기침할, 빨아들일	0
璹	숙, 도, 수	옥 그릇, 옥 이름, 옥 이름	0
琡	숙	옥 이름	0
潚	숙, 축	빠를, 깊고 맑을	0
錞	순, 대	악기 이름, 창고달	0
諄	순	타이를	0
詢	순	물을	0
蕣	순	무궁화	0
蓴	순	순채	0
橓	순	무궁화나무	0
楯	순, 준	난간, 책상	0
栒	순	가름대	0
恂	순, 준	정성, 엄할	0
徇	순, 순	돌, 주창할	0
鉥	술	돗바늘	0
嵩	숭	높은 산	0
崧	숭	우뚝 솟을	0
蝨	슬	이	0
褶	습, 첩, 접	주름, 덧옷, 주름	0
陞	승	오를	0
蠅	승	파리	0
豕	시	돼지	0
蓍	시	톱풀	0
蒔	시	모종 낼	0
翅	시	날개	0
恃	시, 시	믿을, 어머니	0
屎	시, 히	똥, 끙끙거릴	0
尸	시	주검	0
嘶	시	울	0
篒	식	대밥통	0
寔	식	이	0
埴	식, 치	찰흙, 찰흙	0
藎	신, 탄	조개풀, 나머지	0
莘	신, 신	족두리풀, 나라 이름	0
侁	신	걷는 모양	0
諶	심	참	0
芯	심	골풀	0
沁	심	스며들	0
鵝	아	거위	0
鴉	아	갈까마귀	0
蛾	아, 의	나방, 개미	0
莪	아	쑥	0
峨	아	높을	0
娥	아	예쁠	0
齷	악	악착할	0
鰐	악	악어	0
鍔	악	칼날	0
鄂	악	나라 이름	0
渥	악, 우	두터울, 담글	0
幄	악	휘장	0
嶽	악	큰 산	0
鮟	안	아귀	0
菴	암	암자	0
岩	암	바위	0
唵	암	머금을	0
狎	압, 합	익숙할, 익숙할	0
昻	앙	밝을	0
碍	애, 의	거리낄, 푸른 돌	0
厓	애, 애	언덕, 흘길	0
掖	액, 액	겨드랑이, 낄	0
鸚	앵	앵무새	0
罌	앵	양병	0
椰	야	야자나무	0
蒻	약	구약나물	0
穰	양	짚	0
禳	양, 양	제사 이름, 물리칠	0
痒	양	가려울	0
煬	양	쬘	0
瀁	양	내 이름	0
暘	양	해돋이	0
敭	양	오를	0
佯	양	거짓	0
齬	어	어긋날	0
馭	어	말 부릴	0
檍	억	감탕나무	0
偃	언	쓰러질	0
蘖	얼, 벽, 폐	그루터기, 황경나무, 승검초	0
孼	얼	서자	0
淹	엄	담글	0
俺	엄, 암	클, 나	0
嶪	업	높고 험할	0
円	엔, 원	화폐 단위, 둥글	0
璵	여	옥	0
歟	여	어조사	0
轝	여	수레	0
茹	여	먹을	0
艅	여	배 이름	0
礖	여	돌 이름	0
縯	연, 인	길, 사람 이름	0
烟	연, 인	연기, 제사 지낼	0
涓	연, 현	시내, 우는 모양	0
涎	연	침	0
沇	연, 유	강 이름, 흐를	0
挻	연, 선	늘일, 이길	0
娟	연	예쁠	0
堧	연	빈 터	0
嚥	연	삼킬	0
髥	염	구레나룻	0
苒	염	풀 우거질	0
琰	염	옥	0
曄	엽	빛날	0
煐	영	빛날	0
瀯	영	물 졸졸 흐를	0
瀛	영	바다	0
濚	영	물이 졸졸 흐를	0
潁	영	강 이름	0
渶	영	물 맑을	0
楹	영	기둥	0
嶸	영	가파를	0
塋	영	무덤	0
霙	영	진눈깨비	0
鍈	영, 앙	방울 소리, 방울 소리	0
纓	영	갓끈	0
穎	영	이삭	0
瓔	영	옥돌	0
獰	영(녕)	모질	0
霓	예, 역	무지개, 무지개	0
蘂	예, 전	꽃술, 모일	0
猊	예	사자	0
汭	예, 돈	물굽이, 해	0
叡	예	밝을	0
刈	예	벨	0
倪	예, 예	어린이, 다시 난 이	0
乂	예, 애	벨, 징계할	0
鼇	오	자라	0
鰲	오	자라	0
蜈	오	지네	0
筽	오	버들고리	0
獒	오	개	0
熬	오	볶을	0
澳	오, 욱	깊을, 후미	0
晤	오, 오	총명할, 만날	0
旿	오	밝을	0
敖	오	거만할	0
塢	오	둑	0
俉	오	맞이할	0
縕	온	헌솜	0
瘟	온	염병	0
瑥	온	사람 이름	0
兀	올	우뚝할	0
饔	옹	아침밥	0
癰	옹	악창	0
瓮	옹	독	0
蛙	와, 왜, 결	개구리, 개구리, 두견이	0
窪	와	웅덩이	0
窩	와	움집	0
豌	완	완두	0
脘	완, 한, 환	밥통, 살, 뼈 기름	0
翫	완	희롱할	0
碗	완	사발	0
琬	완	홀	0
琓	완	옥 이름	0
浣	완, 관	빨, 수준기	0
